0-4000
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell
100;49600;76800;71000;62200;38800;21100;89800;36000;230100;298400;16500;11700;10400
200;137400;279500;266800;278000;185600;107300;104300;45600;549000;1.366e+06;67600;83800;47500
300;439800;856600;658500;713700;399100;187600;187600;127200;1.3485e+06;1.8846e+06;100000;105000;110200
400;533500;1.8298e+06;1.2329e+06;1.1938e+06;816000;619800;243900;221700;1.5662e+06;4.6207e+06;155700;146200;142600
500;1.0626e+06;2.8498e+06;2.2773e+06;2.4321e+06;1.1544e+06;499600;126400;86700;2.0256e+06;4.7227e+06;191100;156300;134800
600;1.2657e+06;4.1742e+06;3.3236e+06;2.9406e+06;2.8861e+06;712000;171000;213800;3.4256e+06;6.6904e+06;181400;170400;149800
700;2.6098e+06;4.6639e+06;3.4898e+06;3.8054e+06;2.5398e+06;755900;120000;91000;1.8893e+06;7.7677e+06;207600;171400;166500
800;2.248e+06;5.5605e+06;4.8969e+06;4.7217e+06;2.7126e+06;1.3518e+06;313000;231500;2.8393e+06;9.7571e+06;223600;199800;238900
900;2.8543e+06;5.885e+06;5.8786e+06;7.0247e+06;4.8167e+06;1.4242e+06;149200;156900;3.2393e+06;1.34556e+07;461400;267800;289600
1000;3.2462e+06;7.6577e+06;6.9124e+06;8.5613e+06;5.7394e+06;2.2539e+06;139100;131800;3.2723e+06;2.06846e+07;371000;309000;311700
1100;4.0284e+06;9.2018e+06;9.6548e+06;1.09696e+07;5.9422e+06;2.0409e+06;295300;306300;6.0235e+06;2.07735e+07;379900;335500;326900
1200;4.695e+06;1.05467e+07;1.17499e+07;1.03421e+07;6.3185e+06;2.8023e+06;164500;168000;3.5639e+06;2.88986e+07;365700;377400;514200
1300;6.6743e+06;1.65733e+07;1.40396e+07;1.39727e+07;7.4281e+06;2.9193e+06;139800;146200;4.4263e+06;2.58615e+07;406600;433300;763300
1400;7.1053e+06;2.18321e+07;1.70445e+07;1.469e+07;9.2453e+06;2.7908e+06;149600;159600;4.4329e+06;2.78616e+07;447000;430900;442000
1500;8.5549e+06;2.39894e+07;1.90958e+07;1.64571e+07;1.46132e+07;5.0664e+06;219200;199900;5.4379e+06;3.32302e+07;567500;791700;685800
1600;9.1761e+06;2.90296e+07;2.57838e+07;1.96759e+07;1.36798e+07;4.9525e+06;191600;190100;5.2383e+06;3.72101e+07;637800;550400;724300
1700;1.11869e+07;2.3835e+07;2.29346e+07;2.13555e+07;1.28806e+07;6.8688e+06;301900;373300;7.1406e+06;4.38749e+07;667100;544500;544400
1800;1.06666e+07;2.51178e+07;2.81931e+07;2.67954e+07;1.72214e+07;5.7756e+06;183600;211900;5.6282e+06;5.3173e+07;626700;565100;561000
1900;1.17921e+07;2.98058e+07;2.78273e+07;2.72777e+07;2.12232e+07;8.8542e+06;214200;252200;6.4703e+06;4.58734e+07;888200;647500;650100
2000;1.34437e+07;3.51426e+07;3.12954e+07;3.19795e+07;2.23021e+07;8.1981e+06;282700;348300;7.4586e+06;5.55607e+07;898900;634200;618400
2100;1.44977e+07;4.00211e+07;3.45846e+07;3.4498e+07;2.60236e+07;8.6882e+06;207400;235100;6.479e+06;5.3581e+07;755000;685100;855400
2200;1.52582e+07;4.39437e+07;3.77268e+07;3.99649e+07;3.15651e+07;8.115e+06;298300;409300;7.5308e+06;6.18255e+07;893900;923300;689100
2300;1.74114e+07;4.49154e+07;4.47233e+07;4.63334e+07;2.54872e+07;8.6282e+06;303200;257000;6.8882e+06;6.89364e+07;946600;850900;1.2668e+06
2400;1.90067e+07;4.76677e+07;5.05222e+07;4.76259e+07;3.35373e+07;1.00545e+07;387500;346200;8.1651e+06;7.59637e+07;948100;799500;904600
2500;2.04772e+07;4.95309e+07;5.45448e+07;5.24524e+07;3.18736e+07;1.06301e+07;395000;546700;7.9043e+06;8.31289e+07;990700;915000;1.1062e+06
2600;2.09376e+07;5.91759e+07;5.54643e+07;5.84321e+07;3.23134e+07;1.23973e+07;294400;304200;9.9835e+06;8.6735e+07;964400;1.0678e+06;936400
2700;2.80098e+07;6.96952e+07;6.19402e+07;6.06832e+07;3.90884e+07;1.48284e+07;247300;357900;8.9673e+06;8.94898e+07;1.0235e+06;860800;1.0055e+06
2800;2.77174e+07;6.51786e+07;6.6514e+07;6.81648e+07;3.72096e+07;1.23163e+07;223600;295200;9.1034e+06;1.00959e+08;1.3973e+06;975900;983100
2900;3.14488e+07;6.4741e+07;7.59322e+07;6.78394e+07;3.93314e+07;1.35874e+07;206300;320400;9.5442e+06;1.0179e+08;1.1482e+06;898800;957000
3000;3.59967e+07;7.19581e+07;7.76319e+07;7.23093e+07;4.39327e+07;1.47212e+07;219600;313500;9.8053e+06;1.13606e+08;1.1836e+06;931300;1.0379e+06
