almost-sorted
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell
100;34700;47200;51700;34400;12000;12900;106400;46500;247400;740000;20900;10500;10200
200;120800;177000;202400;172000;118900;41300;118900;86400;515100;2.7553e+06;44700;29500;31100
300;271300;382700;398800;374900;100600;58300;109000;66500;1.0378e+06;5.8551e+06;77400;50600;48400
400;540500;1.146e+06;962600;838800;301500;126700;131600;87100;2.4697e+06;9.2739e+06;199100;132200;185700
500;907600;1.107e+06;1.1721e+06;1.2981e+06;455100;171800;132700;87600;1.4372e+06;1.58525e+07;133000;101600;97000
600;1.5835e+06;1.6294e+06;1.7485e+06;2.4402e+06;571800;185200;252800;178600;4.1177e+06;2.24831e+07;246800;192200;131800
700;1.3421e+06;1.8365e+06;2.2155e+06;1.7013e+06;439000;218400;125000;100200;2.5467e+06;2.74215e+07;313700;231000;251000
800;2.4259e+06;3.3461e+06;2.9266e+06;2.8713e+06;722000;306400;137200;118400;2.5994e+06;3.48637e+07;249100;173800;229600
900;2.2079e+06;3.3407e+06;3.6273e+06;3.4442e+06;883200;387800;166700;130200;3.6602e+06;4.46952e+07;359800;233100;228300
1000;3.187e+06;4.9468e+06;6.3816e+06;4.8939e+06;2.486e+06;1.0462e+06;285200;347800;4.328e+06;5.10776e+07;339000;258900;248700
1100;4.5014e+06;5.3235e+06;5.7154e+06;4.6763e+06;1.3505e+06;764600;134800;152200;3.0708e+06;5.6938e+07;379300;267000;259100
1200;4.5705e+06;6.3344e+06;5.889e+06;6.8247e+06;1.389e+06;621800;139600;140200;3.6671e+06;8.14909e+07;814200;373100;315600
1300;6.0912e+06;7.2095e+06;8.2573e+06;8.255e+06;2.0685e+06;808600;171300;253500;4.1818e+06;9.77617e+07;429400;332800;413600
1400;6.3542e+06;8.4755e+06;9.5993e+06;9.2488e+06;3.5996e+06;1.7789e+06;354700;489200;7.8053e+06;1.08014e+08;513000;355800;340400
1500;6.3046e+06;1.35275e+07;1.35327e+07;9.4568e+06;2.1737e+06;1.0403e+06;178900;276700;5.5382e+06;1.25491e+08;498100;356000;335200
1600;7.7328e+06;1.10724e+07;1.27691e+07;1.23508e+07;3.3873e+06;1.2773e+06;167000;195100;4.7535e+06;1.42652e+08;808700;556400;462000
1700;8.6015e+06;1.24789e+07;1.40779e+07;1.2023e+07;3.3507e+06;1.2158e+06;270700;332000;4.8613e+06;1.58543e+08;671900;653800;481800
1800;1.01364e+07;1.46394e+07;1.39119e+07;1.37754e+07;3.5508e+06;1.3602e+06;259900;574200;6.0553e+06;1.81434e+08;692000;626900;624800
1900;1.07901e+07;1.71039e+07;2.07487e+07;1.59269e+07;4.3954e+06;1.707e+06;220900;246800;6.2389e+06;1.92786e+08;735300;545600;481400
2000;1.1372e+07;1.70369e+07;1.79949e+07;1.95769e+07;4.7284e+06;2.1973e+06;333800;267600;7.6462e+06;2.07154e+08;610600;624200;502600
2100;1.31731e+07;2.54885e+07;2.38128e+07;2.48556e+07;4.9083e+06;2.4159e+06;212200;267000;6.5211e+06;2.30223e+08;835200;700000;566000
2200;1.38119e+07;2.33299e+07;2.52427e+07;2.31438e+07;5.8984e+06;2.635e+06;243400;313600;7.1099e+06;2.24754e+08;1.0085e+06;654500;645900
2300;1.74966e+07;2.25181e+07;2.5014e+07;2.38002e+07;5.8733e+06;2.5052e+06;257000;292000;7.9794e+06;2.69776e+08;1.0667e+06;572300;531400
2400;1.96878e+07;2.9506e+07;2.47331e+07;2.45374e+07;6.0667e+06;2.4411e+06;335500;312400;7.9221e+06;3.04178e+08;816600;866100;729900
2500;1.89951e+07;2.80117e+07;3.32461e+07;2.77758e+07;6.8539e+06;2.4243e+06;352700;272800;8.5931e+06;3.2308e+08;902200;633700;793500
2600;2.0921e+07;3.1073e+07;3.17218e+07;2.79312e+07;7.0584e+06;2.891e+06;279700;365500;1.03139e+07;3.40481e+08;993300;636400;685900
2700;2.33601e+07;3.29327e+07;3.51302e+07;3.11294e+07;8.9069e+06;3.1147e+06;215100;340500;9.0595e+06;3.71204e+08;1.3203e+06;813300;803900
2800;3.09571e+07;3.69845e+07;3.33509e+07;3.82728e+07;9.0528e+06;3.9346e+06;224200;288100;9.4681e+06;4.0602e+08;1.4859e+06;934200;791400
2900;2.6306e+07;4.21592e+07;4.03063e+07;3.85937e+07;9.0157e+06;3.2259e+06;217000;340600;1.13984e+07;3.37777e+08;1.0382e+06;957500;781400
3000;3.32137e+07;3.82987e+07;3.83473e+07;3.90398e+07;8.033e+06;3.5218e+06;365800;632700;1.10882e+07;4.4374e+08;1.0363e+06;776600;749400
3100;2.90277e+07;4.64069e+07;4.27305e+07;4.04241e+07;1.07558e+07;3.8378e+06;253700;337000;1.21121e+07;4.84806e+08;1.0529e+06;816900;922900
