Aversion2;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;30073;31367;15189;44937
200;118144;132168;93624;179867
300;258569;285313;196990;404797
400;459238;516562;360505;719712
500;711373;803516;572819;1.12463e+06
600;1.041e+06;1.16149e+06;802633;1.61951e+06
700;1.41708e+06;1.59354e+06;1.04795e+06;2.2044e+06
800;1.86584e+06;2.08693e+06;1.46732e+06;2.87926e+06
900;2.3442e+06;2.61947e+06;1.7401e+06;3.64412e+06
1000;2.93114e+06;3.24657e+06;2.29479e+06;4.49892e+06
1100;3.56566e+06;3.93414e+06;2.74026e+06;5.44375e+06
1200;4.21757e+06;4.69500e+06;3.26346e+06;6.47861e+06
1300;4.96386e+06;5.47741e+06;3.84819e+06;7.60335e+06
1400;5.75032e+06;6.36025e+06;4.41045e+06;8.81817e+06
1500;6.58689e+06;7.31015e+06;5.01691e+06;1.0123e+07
1600;7.53940e+06;8.29752e+06;5.84315e+06;1.15177e+07
1700;8.50209e+06;9.35618e+06;6.52028e+06;1.30025e+07
1800;9.53937e+06;1.04555e+07;7.11794e+06;1.45773e+07
1900;1.06257e+07;1.16939e+07;8.1828e+06;1.6242e+07
2000;1.17481e+07;1.29311e+07;9.0923e+06;1.79967e+07
2100;1.29662e+07;1.42314e+07;1.00039e+07;1.98414e+07
2200;1.42183e+07;1.56553e+07;1.09945e+07;2.17762e+07
2300;1.55605e+07;1.71375e+07;1.18871e+07;2.38009e+07
2400;1.69875e+07;1.86409e+07;1.31554e+07;2.59156e+07
2500;1.83746e+07;2.01758e+07;1.41945e+07;2.81202e+07
2600;1.97898e+07;2.18588e+07;1.51001e+07;3.04148e+07
2700;2.13779e+07;2.36293e+07;1.65232e+07;3.27995e+07
2800;2.2957e+07;2.53173e+07;1.77012e+07;3.52741e+07
2900;2.47182e+07;2.71368e+07;1.88233e+07;3.78387e+07
3000;2.65386e+07;2.91422e+07;2.0178e+07;4.04933e+07
3100;2.82578e+07;3.1085e+07;2.12338e+07;4.32379e+07
3200;3.00311e+07;3.31305e+07;2.33722e+07;4.60725e+07
3300;3.19195e+07;3.53273e+07;2.47762e+07;4.8997e+07
3400;3.39667e+07;3.7463e+07;2.58003e+07;5.20115e+07
3500;3.60721e+07;3.95987e+07;2.73496e+07;5.5116e+07
3600;3.81222e+07;4.19715e+07;2.90422e+07;5.83106e+07
3700;4.02708e+07;4.41841e+07;3.15064e+07;6.15951e+07
3800;4.24073e+07;4.65752e+07;3.3256e+07;6.49695e+07
3900;4.46875e+07;4.91246e+07;3.43272e+07;6.84339e+07
4000;4.68718e+07;5.18002e+07;3.66081e+07;7.19884e+07
4100;4.92905e+07;5.45402e+07;3.84021e+07;7.56327e+07
