binaryInsert;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;13292;14387;6860;24223
200;42540;53489;23494;89643
300;89265;105472;37328;195495
400;146499;182280;63350;341673
500;218564;274093;97548;527852
600;317301;391551;118093;754530
700;424025;533473;151877;1.02129e+06
800;553116;700746;216634;1.32803e+06
900;687797;862757;221583;1.67477e+06
1000;875269;1.07196e+06;322619;2.06147e+06
1100;1.06302e+06;1.29297e+06;351937;2.48864e+06
1200;1.23654e+06;1.54670e+06;408642;2.95599e+06
1300;1.44386e+06;1.77415e+06;505446;3.46326e+06
1400;1.67748e+06;2.05876e+06;556756;4.01057e+06
1500;1.91729e+06;2.362e+06;619234;4.59783e+06
1600;2.19854e+06;2.66804e+06;755506;5.22506e+06
1700;2.45838e+06;2.98756e+06;864462;5.89233e+06
1800;2.76711e+06;3.33417e+06;857106;6.59961e+06
1900;3.06893e+06;3.72614e+06;958495;7.34685e+06
2000;3.37228e+06;4.08866e+06;1.06097e+06;8.13413e+06
2100;3.73285e+06;4.52425e+06;1.21265e+06;8.96164e+06
2200;4.10664e+06;4.96239e+06;1.26828e+06;9.82945e+06
2300;4.51542e+06;5.42494e+06;1.37701e+06;1.07373e+07
2400;4.91527e+06;5.91215e+06;1.51176e+06;1.16851e+07
2500;5.28698e+06;6.36166e+06;1.69898e+06;1.26728e+07
2600;5.64586e+06;6.88232e+06;1.71984e+06;1.37006e+07
2700;6.09882e+06;7.45619e+06;1.88956e+06;1.47683e+07
2800;6.575e+06;7.98449e+06;1.89633e+06;1.58761e+07
2900;7.05802e+06;8.54626e+06;2.11987e+06;1.70238e+07
3000;7.62551e+06;9.16736e+06;2.12959e+06;1.82114e+07
3100;8.10599e+06;9.77178e+06;2.3486e+06;1.94392e+07
3200;8.58051e+06;1.03859e+07;2.6492e+06;2.0707e+07
3300;9.04597e+06;1.10921e+07;2.70388e+06;2.20146e+07
3400;9.64766e+06;1.1757e+07;2.87199e+06;2.33622e+07
3500;1.02776e+07;1.24045e+07;2.86731e+06;2.47499e+07
3600;1.08581e+07;1.31156e+07;3.0692e+06;2.61776e+07
3700;1.14622e+07;1.37914e+07;3.72051e+06;2.76453e+07
3800;1.20328e+07;1.45379e+07;3.95819e+06;2.91528e+07
3900;1.26548e+07;1.52996e+07;3.71076e+06;3.07004e+07
4000;1.32506e+07;1.62192e+07;4.10439e+06;3.2288e+07
4100;1.38825e+07;1.71044e+07;4.36283e+06;3.39157e+07
