count;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;1727;17620;17633;18027
200;3427;19320;19323;19799
300;5127;21020;21023;21499
400;6827;22811;22812;23199
500;8527;24511;24514;24899
600;10227;26211;26210;26599
700;11927;27911;27921;28299
800;13627;29611;29613;29999
900;15327;31311;31314;31699
1000;17027;33011;33012;33403
1100;18727;34711;34710;35103
1200;20427;36411;36412;36803
1300;22127;38111;38117;38503
1400;23827;39811;39811;40203
1500;25527;41511;41525;41903
1600;27227;43211;43213;43603
1700;28927;44911;44927;45303
1800;30627;46611;46621;47003
1900;32327;48311;48310;48703
2000;34027;50011;50010;50403
2100;35727;51711;51710;52103
2200;37427;53411;53407;53803
2300;39127;55111;55111;55503
2400;40827;56811;56807;57203
2500;42527;58511;58510;58903
2600;44227;60211;60216;60603
2700;45927;61911;61922;62303
2800;47627;63611;63615;64003
2900;49327;65311;65312;65703
3000;51027;67011;67015;67403
3100;52727;68711;68710;69103
3200;54427;70411;70412;70803
3300;56127;72111;72114;72503
3400;57827;73811;73825;74203
3500;59527;75511;75521;75903
3600;61227;77211;77227;77603
3700;62927;78911;78909;79303
3800;64627;80611;80614;81003
3900;66327;82311;82314;82707
4000;68027;84011;84009;84407
4100;69727;85711;85713;86107
