radix;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;10514;10514;10514;10514
200;16914;16914;16914;16914
300;23314;23314;23314;23314
400;29714;29714;29714;29714
500;36114;36114;36114;36114
600;42514;42514;42514;42514
700;48914;48914;48914;48914
800;55314;55314;55314;55314
900;61714;61714;61714;61714
1000;68114;68114;68114;68114
1100;74514;74514;74514;74514
1200;80914;80914;80914;80914
1300;87314;87314;87314;87314
1400;93714;93714;93714;93714
1500;100114;100114;100114;100114
1600;106514;106514;106514;106514
1700;112914;112914;112914;112914
1800;119314;119314;119314;119314
1900;125714;125714;125714;125714
2000;132114;132114;132114;132114
2100;138514;138514;138514;138514
2200;144914;144914;144914;144914
2300;151314;151314;151314;151314
2400;157714;157714;157714;157714
2500;164114;164114;164114;164114
2600;170514;170514;170514;170514
2700;176914;176914;176914;176914
2800;183314;183314;183314;183314
2900;189714;189714;189714;189714
3000;196114;196114;196114;196114
3100;202514;202514;202514;202514
3200;208914;208914;208914;208914
3300;215314;215314;215314;215314
3400;221714;221714;221714;221714
3500;228114;228114;228114;228114
3600;234514;234514;234514;234514
3700;240914;240914;240914;240914
3800;247314;247314;247314;247314
3900;253714;253714;253714;253714
4000;260114;260114;260114;260114
4100;266514;266514;266514;266514
