merge;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;3964;4000;3800;3620
200;8874;9006;8766;8048
300;14106;14352;13924;12772
400;19688;20004;19352;17704
500;25258;25662;25050;22500
600;31104;31704;30978;27952
700;37218;37836;36586;33328
800;43202;43998;42772;38616
900;49118;50176;48560;43864
1000;55266;56306;55000;49008
1100;61586;62806;61478;54812
1200;68042;69412;67596;60712
1300;74428;76058;74032;66492
1400;81006;82662;80628;72264
1500;87478;89274;86750;77924
1600;94020;95976;93672;83640
1700;100502;102650;99990;89380
1800;106974;109318;106764;94936
1900;113588;115942;113632;100564
2000;120138;122656;120210;106024
2100;126884;129640;126788;112000
2200;133774;136624;133836;118432
2300;140706;143712;140020;124688
2400;147696;150856;147078;131032
2500;154766;157926;154414;137208
2600;161608;165098;161442;143392
2700;168578;172264;168500;149632
2800;175536;179292;175480;155736
2900;182696;186494;182566;161872
3000;189574;193520;189674;167856
3100;196460;200672;196958;173856
3200;203572;207842;203746;180088
3300;210536;215066;210748;186256
3400;217570;222256;217234;192368
3500;224564;229436;225066;198384
3600;231532;236572;231768;204280
3700;238572;243732;238776;210376
3800;245622;250874;246104;216336
3900;252594;258056;252712;222232
4000;259562;265322;260744;228056
4100;266510;272500;268174;233764
