quick;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;12188;8086;30394;15076
200;44736;30044;120794;59959
300;99766;63510;271194;133558
400;175448;107416;481594;236017
500;271542;167990;751994;368530
600;392062;242916;1.08239e+06;527913
700;535526;325300;1.47279e+06;708950
800;689412;427568;1.92319e+06;923540
900;867508;540942;2.43359e+06;1.16555e+06
1000;1.07622e+06;664432;3.00399e+06;1.4244e+06
1100;1.30503e+06;807848;2.94953e+06;1.7061e+06
1200;1.54534e+06;965952;4.32479e+06;2.02238e+06
1300;1.81303e+06;1.12521e+06;5.07519e+06;2.35442e+06
1400;2.10355e+06;1.29985e+06;5.88559e+06;2.70836e+06
1500;2.41406e+06;1.48654e+06;6.75599e+06;3.08806e+06
1600;2.75299e+06;1.69508e+06;7.68639e+06;3.49857e+06
1700;3.10877e+06;1.88772e+06;8.67679e+06;3.9195e+06
1800;3.48987e+06;2.1185e+06;9.72719e+06;4.35654e+06
1900;3.8846e+06;2.33809e+06;1.08376e+07;4.84559e+06
2000;4.30051e+06;2.58133e+06;1.2008e+07;5.34298e+06
2100;4.74699e+06;2.83471e+06;1.32384e+07;5.86038e+06
2200;5.21077e+06;3.08676e+06;1.3079e+07;6.40489e+06
2300;5.69914e+06;3.38542e+06;1.58792e+07;6.98336e+06
2400;6.21418e+06;3.69930e+06;1.72896e+07;7.57813e+06
2500;6.73686e+06;3.99288e+06;1.876e+07;8.14924e+06
2600;7.26919e+06;4.30699e+06;2.02904e+07;8.75469e+06
2700;7.84028e+06;4.66698e+06;2.18808e+07;9.34809e+06
2800;8.45556e+06;5.00625e+06;2.35312e+07;9.96213e+06
2900;9.07067e+06;5.37754e+06;1.9638e+07;1.06339e+07
3000;9.73955e+06;5.77604e+06;2.7012e+07;1.12759e+07
3100;1.04026e+07;6.15739e+06;2.88424e+07;1.1975e+07
3200;1.10535e+07;6.56609e+06;3.07328e+07;1.27296e+07
3300;1.17473e+07;6.99403e+06;3.26832e+07;1.34213e+07
3400;1.24865e+07;7.4107e+06;3.46936e+07;1.41581e+07
3500;1.32487e+07;7.87026e+06;3.6764e+07;1.48527e+07
3600;1.40293e+07;8.30826e+06;3.88944e+07;1.5672e+07
3700;1.48109e+07;8.79051e+06;2.07273e+07;1.64289e+07
3800;1.56128e+07;9.28285e+06;4.33352e+07;1.71966e+07
3900;1.64532e+07;9.79368e+06;4.56456e+07;1.80134e+07
4000;1.73111e+07;1.03456e+07;4.8016e+07;1.87982e+07
4100;1.81816e+07;1.08416e+07;5.04464e+07;1.96194e+07
