heap;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;8522;10426;11002;9220
200;19868;23537;25200;21291
300;31730;38105;41184;35044
400;44609;54186;57448;49431
500;58501;70281;74253;64160
600;72651;86916;92132;79514
700;86766;103887;110427;95543
800;100655;121196;128832;111766
900;114390;139061;147166;128474
1000;129136;156520;164875;144228
1100;143497;175538;184746;162186
1200;157700;193698;204595;178894
1300;175593;212093;224171;196936
1400;191573;231066;244264;214280
1500;204510;249803;264649;233546
1600;220528;268975;284007;249901
1700;235043;288077;303677;268770
1800;248948;307364;324572;286328
1900;266595;326385;344806;306658
2000;280823;346820;364511;323153
2100;296107;366498;384827;342044
2200;311425;386023;406687;359846
2300;327538;406183;428732;380376
2400;344952;425875;449624;397805
2500;363598;446814;470998;416403
2600;379540;466979;492484;434587
2700;395581;488560;514366;456017
2800;411313;509584;536128;473461
2900;427826;529807;557246;492475
3000;444387;550029;579500;511446
3100;459710;570790;600599;532731
3200;476126;591187;621003;552290
3300;494113;611329;643474;570696
3400;510020;633582;665439;590526
3500;525697;653662;687201;612032
3600;541904;673491;709338;630613
3700;557985;694591;730656;650214
3800;577277;716031;751707;670864
3900;592259;736997;773121;692106
4000;610244;758458;795081;711158
4100;626575;780659;817543;729676
