shellCiura;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;4351;5611;4921;4976
200;9629;13024;11604;10804
300;15569;21184;18094;17209
400;21713;29373;26308;23738
500;27918;39188;34938;31708
600;33988;47858;42208;39158
700;40183;56723;49338;46078
800;46722;65812;59997;53072
900;53517;75177;68282;60627
1000;60547;86422;76557;67852
1100;67417;95257;87697;75772
1200;74117;105742;95252;83367
1300;81047;116012;106172;95977
1400;88052;127257;114487;100972
1500;94712;136677;122972;110132
1600;101477;147887;135387;114567
1700;108292;156927;144612;126422
1800;115092;168122;150512;134027
1900;122347;179187;162552;138012
2000;129552;189712;170597;149717
2100;137127;200312;183082;157002
2200;144257;213362;191477;166802
2300;151632;224782;201977;173297
2400;159047;234232;211852;182562
2500;166427;243707;225167;189282
2600;173427;255487;234557;197237
2700;181407;265982;245667;206667
2800;188737;275722;250967;216377
2900;196127;292812;261862;224762
3000;204467;301312;273662;237967
3100;211912;312397;283882;251682
3200;219312;324852;297472;258137
3300;226592;334372;303902;267807
3400;234797;346457;318902;273047
3500;242832;361652;324167;286332
3600;250047;372092;334637;289927
3700;257052;381747;349042;301187
3800;264362;391837;359252;309132
3900;271387;404762;364482;319392
4000;278927;416112;378867;325262
4100;286236;428666;390331;338116
