shell;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;3928;4878;4168;4338
200;9041;12571;11881;10326
300;15180;20515;18175;17650
400;20514;29889;25269;24014
500;25012;36277;32882;31502
600;34648;49313;42223;40348
700;39300;55055;48675;48255
800;47432;70377;62472;54747
900;52838;87353;69053;63898
1000;57740;85320;75445;71265
1100;68491;103136;90101;82276
1200;77401;113651;98451;90841
1300;83061;133031;114491;101096
1400;88093;129303;117508;108328
1500;95029;137864;120169;116184
1600;108325;169565;145800;122845
1700;107507;169187;148287;131047
1800;116451;198546;168971;142616
1900;118599;189654;159209;148799
2000;129513;196733;175388;158988
2100;144864;236114;208259;173304
2200;153239;241204;203844;183144
2300;157617;251737;209612;197747
2400;173214;266284;222379;201959
2500;177205;268545;237785;214330
2600;181724;300769;256879;223999
2700;185870;300180;262120;230705
2800;196616;307606;259566;240051
2900;200896;328846;277816;247671
3000;208742;324267;276157;256602
3100;215385;418660;354160;261915
3200;241928;410668;340713;272073
3300;230771;369921;326596;290871
3400;237540;388265;332135;290410
3500;241777;392527;336477;298222
3600;258829;454449;373514;313759
3700;256212;421222;381607;320777
3800;263067;431442;365822;328792
3900;268868;434598;375598;342153
4000;290446;468046;398731;349901
4100;324675;932520;558635;372525
