insert;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;57100;38800;12000;96900
200;175500;185600;118900;359400
300;445500;399100;100600;1.0882e+06
400;1.6567e+06;816000;301500;1.8749e+06
500;1.4604e+06;1.1544e+06;455100;3.1938e+06
600;3.5572e+06;2.8861e+06;571800;2.8367e+06
700;4.8497e+06;2.5398e+06;439000;5.5652e+06
800;4.272e+06;2.7126e+06;722000;7.9713e+06
900;4.6141e+06;4.8167e+06;883200;9.7127e+06
1000;6.3389e+06;5.7394e+06;2.486e+06;9.2603e+06
1100;5.3976e+06;5.9422e+06;1.3505e+06;1.06708e+07
1200;6.3043e+06;6.3185e+06;1.389e+06;1.66456e+07
1300;7.1549e+06;7.4281e+06;2.0685e+06;1.76955e+07
1400;7.642e+06;9.2453e+06;3.5996e+06;1.76114e+07
1500;8.9758e+06;1.46132e+07;2.1737e+06;2.18026e+07
1600;1.02853e+07;1.36798e+07;3.3873e+06;2.80012e+07
1700;1.21247e+07;1.28806e+07;3.3507e+06;2.83695e+07
1800;1.34209e+07;1.72214e+07;3.5508e+06;3.1573e+07
1900;1.48244e+07;2.12232e+07;4.3954e+06;4.77871e+07
2000;1.58509e+07;2.23021e+07;4.7284e+06;4.16615e+07
2100;1.92497e+07;2.60236e+07;4.9083e+06;4.32084e+07
2200;2.52687e+07;3.15651e+07;5.8984e+06;4.67094e+07
2300;2.31509e+07;2.54872e+07;5.8733e+06;4.89924e+07
2400;2.42106e+07;3.35373e+07;6.0667e+06;5.53698e+07
2500;2.51873e+07;3.18736e+07;6.8539e+06;5.8668e+07
2600;2.76556e+07;3.23134e+07;7.0584e+06;6.57063e+07
2700;2.97676e+07;3.90884e+07;8.9069e+06;7.17824e+07
2800;3.01315e+07;3.72096e+07;9.0528e+06;7.15313e+07
2900;3.37242e+07;3.93314e+07;9.0157e+06;8.04553e+07
3000;3.66584e+07;4.39327e+07;8.033e+06;9.07352e+07
3100;4.33652e+07;4.98304e+07;1.07558e+07;9.21959e+07
3200;4.74937e+07;4.89472e+07;1.0934e+07;9.74485e+07
3300;4.31241e+07;5.37623e+07;1.10844e+07;9.77145e+07
3400;5.50025e+07;5.68997e+07;1.11572e+07;1.1099e+08
3500;5.30725e+07;6.68093e+07;1.38166e+07;1.15728e+08
3600;5.61173e+07;5.91652e+07;1.45511e+07;1.22418e+08
3700;5.92939e+07;7.50371e+07;1.59821e+07;1.22759e+08
3800;6.148e+07;7.22918e+07;2.04289e+07;1.34916e+08
3900;6.14002e+07;7.15332e+07;1.81189e+07;1.39532e+08
4000;6.56403e+07;7.78655e+07;1.86105e+07;1.50828e+08
4100;6.64049e+07;7.77169e+07;1.88331e+07;1.58784e+08
