binaryInsert;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;34000;21100;12900;33500
200;78000;107300;41300;131900
300;537600;187600;58300;275800
400;347800;619800;126700;514200
500;538700;499600;171800;826100
600;1.422e+06;712000;185200;1.3655e+06
700;1.9112e+06;755900;218400;2.2544e+06
800;2.2001e+06;1.3518e+06;306400;2.6268e+06
900;1.7219e+06;1.4242e+06;387800;2.8465e+06
1000;1.6423e+06;2.2539e+06;1.0462e+06;4.2283e+06
1100;2.5348e+06;2.0409e+06;764600;4.3201e+06
1200;2.6866e+06;2.8023e+06;621800;5.2274e+06
1300;2.7785e+06;2.9193e+06;808600;4.7591e+06
1400;3.3387e+06;2.7908e+06;1.7789e+06;6.8816e+06
1500;3.5271e+06;5.0664e+06;1.0403e+06;6.9469e+06
1600;3.2871e+06;4.9525e+06;1.2773e+06;9.0248e+06
1700;4.3724e+06;6.8688e+06;1.2158e+06;1.02089e+07
1800;5.0728e+06;5.7756e+06;1.3602e+06;1.0082e+07
1900;5.9579e+06;8.8542e+06;1.707e+06;1.23535e+07
2000;6.8083e+06;8.1981e+06;2.1973e+06;1.22115e+07
2100;6.4048e+06;8.6882e+06;2.4159e+06;1.47174e+07
2200;7.0651e+06;8.115e+06;2.635e+06;1.50516e+07
2300;7.8293e+06;8.6282e+06;2.5052e+06;1.5722e+07
2400;8.1585e+06;1.00545e+07;2.4411e+06;1.75604e+07
2500;9.3146e+06;1.06301e+07;2.4243e+06;2.55017e+07
2600;8.9649e+06;1.23973e+07;2.891e+06;2.03134e+07
2700;1.34329e+07;1.48284e+07;3.1147e+06;2.25022e+07
2800;1.06564e+07;1.23163e+07;3.9346e+06;2.83684e+07
2900;1.2887e+07;1.35874e+07;3.2259e+06;2.94989e+07
3000;1.7565e+07;1.47212e+07;3.5218e+06;3.48481e+07
3100;1.34831e+07;1.57861e+07;3.8378e+06;2.76608e+07
3200;1.40247e+07;1.98308e+07;4.5221e+06;3.30367e+07
3300;1.38637e+07;1.84063e+07;4.1533e+06;3.56432e+07
3400;1.9651e+07;2.0794e+07;4.0977e+06;4.23085e+07
3500;1.68961e+07;1.9629e+07;4.4089e+06;4.15379e+07
3600;1.84637e+07;2.30983e+07;5.8143e+06;4.06595e+07
3700;1.70435e+07;2.75337e+07;5.8109e+06;4.58546e+07
3800;2.04897e+07;2.6548e+07;7.6419e+06;4.45742e+07
3900;2.32882e+07;2.34817e+07;6.119e+06;4.9776e+07
4000;2.26728e+07;2.52661e+07;8.7198e+06;4.93657e+07
4100;2.27893e+07;2.60077e+07;6.8152e+06;5.01623e+07
