count;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;8700;89800;106400;114600
200;20900;104300;118900;111200
300;27600;187600;109000;100100
400;47800;243900;131600;110600
500;34100;126400;132700;126900
600;111600;171000;252800;253400
700;102800;120000;125000;180800
800;82000;313000;137200;117500
900;87400;149200;166700;140500
1000;62800;139100;285200;185900
1100;114000;295300;134800;255300
1200;79700;164500;139600;313200
1300;67500;139800;171300;145900
1400;71100;149600;354700;161900
1500;72300;219200;178900;261800
1600;73300;191600;167000;237900
1700;91300;301900;270700;233300
1800;91900;183600;259900;168800
1900;141700;214200;220900;315200
2000;225400;282700;333800;335600
2100;157000;207400;212200;200100
2200;119300;298300;243400;285000
2300;186900;303200;257000;195700
2400;114000;387500;335500;173800
2500;115400;395000;352700;258300
2600;115600;294400;279700;231200
2700;138500;247300;215100;210100
2800;123600;223600;224200;221700
2900;168600;206300;217000;242100
3000;269900;219600;365800;232100
3100;150500;254900;253700;400200
3200;249600;275300;288400;244100
3300;304300;243600;412000;472300
3400;224300;458400;236600;342200
3500;178900;441500;270600;376400
3600;148100;240500;374200;315000
3700;152800;274100;281200;310000
3800;202100;677600;341100;291300
3900;191700;281300;275000;253400
4000;219800;288500;344000;461700
4100;189200;258800;273800;237000
