radix;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;53800;36000;46500;72200
200;65100;45600;86400;99900
300;82100;127200;66500;54800
400;102700;221700;87100;63300
500;110200;86700;87600;95300
600;128500;213800;178600;172700
700;181200;91000;100200;110100
800;179700;231500;118400;104100
900;239000;156900;130200;152900
1000;183400;131800;347800;162300
1100;312900;306300;152200;157900
1200;168000;168000;140200;155100
1300;180600;146200;253500;134500
1400;205600;159600;489200;174100
1500;195600;199900;276700;201100
1600;232200;190100;195100;221500
1700;219300;373300;332000;223600
1800;247200;211900;574200;312600
1900;221300;252200;246800;284900
2000;299700;348300;267600;310400
2100;455700;235100;267000;256300
2200;319300;409300;313600;485300
2300;375200;257000;292000;236500
2400;367800;346200;312400;246500
2500;292500;546700;272800;336500
2600;285700;304200;365500;266600
2700;332200;357900;340500;281200
2800;456300;295200;288100;417100
2900;631100;320400;340600;516800
3000;416700;313500;632700;357900
3100;323900;374500;337000;394600
3200;453400;588600;689200;331700
3300;648900;371900;368000;449200
3400;459000;656400;318200;521400
3500;519600;536100;381400;364200
3600;360200;347400;733100;351900
3700;396700;576900;755500;478800
3800;471400;863700;878400;402700
3900;467600;424200;493200;385100
4000;477400;465000;553300;833500
4100;640600;431300;409200;375600
