merge;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;376400;230100;247400;529500
200;1.1012e+06;549000;515100;1.0049e+06
300;2.7448e+06;1.3485e+06;1.0378e+06;744600
400;2.7712e+06;1.5662e+06;2.4697e+06;1.1539e+06
500;1.6854e+06;2.0256e+06;1.4372e+06;1.9961e+06
600;5.0978e+06;3.4256e+06;4.1177e+06;2.0498e+06
700;6.9688e+06;1.8893e+06;2.5467e+06;2.0595e+06
800;6.989e+06;2.8393e+06;2.5994e+06;1.9552e+06
900;5.0276e+06;3.2393e+06;3.6602e+06;2.2762e+06
1000;4.1632e+06;3.2723e+06;4.328e+06;4.461e+06
1100;4.8373e+06;6.0235e+06;3.0708e+06;4.2838e+06
1200;4.8378e+06;3.5639e+06;3.6671e+06;3.2834e+06
1300;4.4158e+06;4.4263e+06;4.1818e+06;3.9133e+06
1400;4.7619e+06;4.4329e+06;7.8053e+06;5.0899e+06
1500;5.1817e+06;5.4379e+06;5.5382e+06;4.0722e+06
1600;5.7644e+06;5.2383e+06;4.7535e+06;5.3244e+06
1700;6.4663e+06;7.1406e+06;4.8613e+06;6.1512e+06
1800;5.7817e+06;5.6282e+06;6.0553e+06;5.6114e+06
1900;7.6513e+06;6.4703e+06;6.2389e+06;5.4806e+06
2000;9.5189e+06;7.4586e+06;7.6462e+06;6.6293e+06
2100;7.6441e+06;6.479e+06;6.5211e+06;8.5022e+06
2200;7.0147e+06;7.5308e+06;7.1099e+06;7.2758e+06
2300;8.1642e+06;6.8882e+06;7.9794e+06;1.02709e+07
2400;8.5742e+06;8.1651e+06;7.9221e+06;7.5991e+06
2500;8.2296e+06;7.9043e+06;8.5931e+06;9.143e+06
2600;1.01872e+07;9.9835e+06;1.03139e+07;8.2464e+06
2700;1.00386e+07;8.9673e+06;9.0595e+06;1.58433e+07
2800;8.6679e+06;9.1034e+06;9.4681e+06;9.9894e+06
2900;1.32445e+07;9.5442e+06;1.13984e+07;9.5513e+06
3000;1.05382e+07;9.8053e+06;1.10882e+07;1.05711e+07
3100;1.00601e+07;1.0998e+07;1.21121e+07;9.9428e+06
3200;1.12835e+07;1.17351e+07;1.07563e+07;1.16567e+07
3300;1.58484e+07;1.18404e+07;1.15941e+07;1.64786e+07
3400;1.33675e+07;1.48589e+07;1.16958e+07;1.41844e+07
3500;1.21585e+07;1.15194e+07;1.08445e+07;1.15357e+07
3600;1.28206e+07;1.15373e+07;1.30065e+07;1.09441e+07
3700;1.29664e+07;1.3803e+07;1.17369e+07;1.26283e+07
3800;1.68619e+07;1.8133e+07;1.20228e+07;1.21832e+07
3900;1.23393e+07;1.41837e+07;1.30875e+07;1.25675e+07
4000;1.25544e+07;1.47254e+07;1.48081e+07;1.54735e+07
4100;1.3268e+07;1.37014e+07;1.27404e+07;1.33025e+07
