quick;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;505800;298400;740000;622900
200;1.436e+06;1.366e+06;2.7553e+06;2.0592e+06
300;5.2563e+06;1.8846e+06;5.8551e+06;2.2558e+06
400;8.4258e+06;4.6207e+06;9.2739e+06;5.1437e+06
500;7.9084e+06;4.7227e+06;1.58525e+07;9.1833e+06
600;2.37808e+07;6.6904e+06;2.24831e+07;9.4531e+06
700;3.84444e+07;7.7677e+06;2.74215e+07;1.42555e+07
800;4.56854e+07;9.7571e+06;3.48637e+07;1.53359e+07
900;3.68685e+07;1.34556e+07;4.46952e+07;2.06688e+07
1000;2.50129e+07;2.06846e+07;5.10776e+07;3.2034e+07
1100;3.3513e+07;2.07735e+07;5.6938e+07;3.31122e+07
1200;4.52887e+07;2.88986e+07;8.14909e+07;3.69787e+07
1300;3.79036e+07;2.58615e+07;9.77617e+07;4.1599e+07
1400;4.68682e+07;2.78616e+07;1.08014e+08;5.29465e+07
1500;5.41944e+07;3.32302e+07;1.25491e+08;5.59893e+07
1600;6.17104e+07;3.72101e+07;1.42652e+08;6.58415e+07
1700;8.92761e+07;4.38749e+07;1.58543e+08;6.58155e+07
1800;7.7641e+07;5.3173e+07;1.81434e+08;9.28713e+07
1900;8.12404e+07;4.58734e+07;1.92786e+08;8.62859e+07
2000;9.11554e+07;5.55607e+07;2.07154e+08;9.58896e+07
2100;9.77946e+07;5.3581e+07;2.30223e+08;1.03694e+08
2200;1.04076e+08;6.18255e+07;2.24754e+08;1.10948e+08
2300;1.14021e+08;6.89364e+07;2.69776e+08;1.2397e+08
2400;1.18588e+08;7.59637e+07;3.04178e+08;1.28034e+08
2500;1.31196e+08;8.31289e+07;3.2308e+08;1.38602e+08
2600;1.41945e+08;8.6735e+07;3.40481e+08;1.49712e+08
2700;1.50215e+08;8.94898e+07;3.71204e+08;1.70162e+08
2800;1.61018e+08;1.00959e+08;4.0602e+08;1.62671e+08
2900;1.68952e+08;1.0179e+08;3.37777e+08;2.02794e+08
3000;1.81554e+08;1.13606e+08;4.4374e+08;1.89636e+08
3100;1.93073e+08;1.20792e+08;4.84806e+08;2.07401e+08
3200;2.06182e+08;1.18584e+08;5.17756e+08;2.07418e+08
3300;2.15591e+08;1.38031e+08;5.53294e+08;2.43718e+08
3400;2.66741e+08;1.45052e+08;5.70842e+08;2.44777e+08
3500;2.38174e+08;1.57814e+08;6.17077e+08;2.44089e+08
3600;2.5339e+08;1.49259e+08;7.03113e+08;2.60138e+08
3700;2.66282e+08;2.28901e+08;3.51173e+08;2.68618e+08
3800;2.77462e+08;2.02848e+08;7.25253e+08;2.83721e+08
3900;2.93492e+08;1.80076e+08;7.59986e+08;2.96932e+08
4000;3.12887e+08;1.9801e+08;7.8191e+08;3.06314e+08
4100;3.53612e+08;1.97009e+08;8.26726e+08;3.0825e+08
