heap;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;32200;16500;20900;18600
200;40500;67600;44700;40500
300;95900;100000;77400;85500
400;196100;155700;199100;189000
500;211700;191100;133000;171400
600;348400;181400;246800;129300
700;554200;207600;313700;189400
800;353600;223600;249100;187200
900;454100;461400;359800;363300
1000;323100;371000;339000;446700
1100;548200;379900;379300;385800
1200;371300;365700;814200;325100
1300;487600;406600;429400;489500
1400;623400;447000;513000;399700
1500;572900;567500;498100;464600
1600;485300;637800;808700;462800
1700;792000;667100;671900;511600
1800;538800;626700;692000;597200
1900;598600;888200;735300;632700
2000;614000;898900;610600;629100
2100;587400;755000;835200;602400
2200;747600;893900;1.0085e+06;613000
2300;685900;946600;1.0667e+06;759300
2400;733400;948100;816600;1.0735e+06
2500;749600;990700;902200;795700
2600;1.0766e+06;964400;993300;916500
2700;1.2121e+06;1.0235e+06;1.3203e+06;1.2387e+06
2800;946000;1.3973e+06;1.4859e+06;954400
2900;851600;1.1482e+06;1.0382e+06;820100
3000;876400;1.1836e+06;1.0363e+06;894800
3100;1.0055e+06;1.1429e+06;1.0529e+06;1.2865e+06
3200;1.0324e+06;1.308e+06;1.4499e+06;979600
3300;991800;1.7845e+06;1.1984e+06;1.0388e+06
3400;1.4734e+06;1.3537e+06;1.2201e+06;1.1379e+06
3500;1.0565e+06;1.4549e+06;1.487e+06;1.2274e+06
3600;1.0766e+06;1.4534e+06;1.3765e+06;1.2295e+06
3700;1.146e+06;1.5944e+06;1.8369e+06;1.2252e+06
3800;1.1113e+06;1.8988e+06;1.6087e+06;1.3823e+06
3900;1.2844e+06;1.303e+06;1.4532e+06;1.7718e+06
4000;1.3725e+06;1.9328e+06;1.4565e+06;1.4286e+06
4100;1.2001e+06;2.0208e+06;1.6849e+06;1.7897e+06
