shellCiura;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;12600;11700;10500;11600
200;23800;83800;29500;27600
300;79300;105000;50600;46600
400;113000;146200;132200;52000
500;96400;156300;101600;727800
600;204700;170400;192200;65500
700;300800;171400;231000;91500
800;172100;199800;173800;96700
900;210500;267800;233100;229200
1000;168800;309000;258900;230100
1100;194200;335500;267000;243700
1200;191000;377400;373100;153700
1300;313400;433300;332800;256000
1400;273700;430900;355800;209900
1500;364400;791700;356000;264700
1600;262800;550400;556400;225700
1700;572200;544500;653800;328300
1800;309200;565100;626900;350600
1900;447300;647500;545600;526000
2000;351800;634200;624200;319200
2100;336300;685100;700000;278200
2200;400600;923300;654500;493500
2300;469400;850900;572300;416600
2400;481000;799500;866100;344600
2500;423300;915000;633700;481400
2600;441800;1.0678e+06;636400;459800
2700;548100;860800;813300;691200
2800;727200;975900;934200;461300
2900;462600;898800;957500;384900
3000;661300;931300;776600;436600
3100;464200;916300;816900;617500
3200;716300;1.6727e+06;822600;575400
3300;749600;1.2861e+06;989000;680700
3400;556700;1.2404e+06;1.2377e+06;534000
3500;581200;1.1511e+06;970600;545800
3600;607400;1.2e+06;1.17e+06;941200
3700;919700;1.5609e+06;1.132e+06;628000
3800;563800;1.2802e+06;1.24e+06;978700
3900;599900;1.2403e+06;1.2398e+06;763300
4000;621600;1.6667e+06;1.0816e+06;759800
4100;616800;1.4175e+06;1.3332e+06;629100
